variant,run,hv,hf_calls,picp90,ntr,violation_rate
Full method,1,0.8408750390664967,58,0.8910744709118291,0.167,0.044697960762888
Full method,2,0.8380920779856856,58,0.8852755524167304,0.167,0.0388174073667638
Full method,3,0.8345979794982674,62,0.8985188135356529,0.167,0.04195535703075491
Full method,4,0.8570639387623262,54,0.90198610028867,0.167,0.027619903677383623
Full method,5,0.8546960538001677,61,0.8955695139520858,0.167,0.03472693119423431
Full method,6,0.860471003662831,61,0.9119013923280952,0.167,0.036447043783741605
Full method,7,0.8491793672804581,57,0.8933492553889218,0.167,0.03174302433561
Full method,8,0.846269985367768,55,0.8989239281016793,0.167,0.03913559022132355
Full method,9,0.8504078960647226,59,0.90871596687339,0.167,0.039743824966069596
Full method,10,0.8506335046501666,57,0.8944687589336111,0.167,0.03632341289755675
Full method,11,0.8559211577446271,57,0.8957952277381489,0.167,0.040772047392079326
Full method,12,0.8530684401934832,60,0.9134499460435181,0.167,0.03214194203552727
Full method,13,0.8534199482966677,55,0.9108250349710303,0.167,0.024911722536449247
Full method,14,0.8347456563152621,58,0.908615383891202,0.167,0.040314079544502175
Full method,15,0.8332894584317758,58,0.8976962721325212,0.167,0.0413999888544498
w/o physics condition,1,0.8065337072154345,62,0.8677526014966652,0.333,0.060832549543013176
w/o physics condition,2,0.8157540179296805,66,0.8530027790223692,0.333,0.0659517078489851
w/o physics condition,3,0.8312127165288549,68,0.8701616873420425,0.333,0.05951582004861694
w/o physics condition,4,0.827435326018758,66,0.841037657590731,0.333,0.06494307349180015
w/o physics condition,5,0.8303238462736865,70,0.8715676907621865,0.333,0.06746118996836162
w/o physics condition,6,0.8162945931041481,67,0.8628292783124305,0.333,0.06521897679996072
w/o physics condition,7,0.8274360741145442,65,0.8914647143242138,0.333,0.06272389563829127
w/o physics condition,8,0.8327330594406932,70,0.8638646037008298,0.333,0.05308002316625886
w/o physics condition,9,0.8261956363328666,65,0.869487184220133,0.333,0.05697605173622017
w/o physics condition,10,0.8069122231812917,71,0.8611694251967404,0.333,0.057817911767357656
w/o physics condition,11,0.8164293761355926,71,0.8606994726344902,0.333,0.0632230794415636
w/o physics condition,12,0.8184212642988475,71,0.8849751788644751,0.333,0.06041559857826932
w/o physics condition,13,0.8488850793009222,62,0.8854688935816855,0.333,0.05297896949491346
w/o physics condition,14,0.8282786022300257,71,0.8926419650464449,0.333,0.06407253585181405
w/o physics condition,15,0.8322808125552903,69,0.8680649700659872,0.333,0.06980110876276203
w/o fidelity decomposition,1,0.821267083656193,85,0.8392075814297353,0.333,0.0669808463613414
w/o fidelity decomposition,2,0.8137144674842391,77,0.8654534668591902,0.333,0.06729436469456261
w/o fidelity decomposition,3,0.808447528634249,85,0.8754448548437587,0.333,0.06453885309284076
w/o fidelity decomposition,4,0.8128081417181459,87,0.8685043756143604,0.333,0.07115227369474775
w/o fidelity decomposition,5,0.813126285405242,82,0.8733965708406461,0.333,0.0494450223176037
w/o fidelity decomposition,6,0.8064150790182801,80,0.8688408000674658,0.333,0.06854553525210672
w/o fidelity decomposition,7,0.8156881839920912,83,0.8569575948141827,0.333,0.06841449803907548
w/o fidelity decomposition,8,0.8010459831020265,85,0.8789060102612036,0.333,0.07352025945072363
w/o fidelity decomposition,9,0.8222762511904776,83,0.8749489134420172,0.333,0.06784370299946454
w/o fidelity decomposition,10,0.8112092787529223,79,0.8566036171799379,0.333,0.07527426345747439
w/o fidelity decomposition,11,0.8007281200812546,82,0.8685236061562558,0.333,0.0674527156980175
w/o fidelity decomposition,12,0.8234055163815306,84,0.8707512674681652,0.333,0.060789622552688535
w/o fidelity decomposition,13,0.8202108062325785,86,0.8587699301318693,0.333,0.07537520843282838
w/o fidelity decomposition,14,0.806887301117014,79,0.852285117328038,0.333,0.06629260939689431
w/o fidelity decomposition,15,0.7936299306164196,82,0.854055013470449,0.333,0.07639373183671956
w/o material adapter,1,0.8201942083999628,67,0.8964647722451529,0.5,0.06009227930029919
w/o material adapter,2,0.8138902384559707,64,0.8778886487242478,0.5,0.0732604290149866
w/o material adapter,3,0.8162109271444552,71,0.8614601568343643,0.5,0.07051616208077603
w/o material adapter,4,0.8102073532609058,67,0.8753097549092423,0.5,0.06133302388696043
w/o material adapter,5,0.8210131604311863,62,0.8830023096948317,0.5,0.06780820606014971
w/o material adapter,6,0.8069728922711511,69,0.8720987535373863,0.5,0.06890724114555538
w/o material adapter,7,0.8329299500379148,71,0.8712189115034189,0.5,0.061096110873062666
