material,target,method,run,coverage,interval_width
LCE,0.8,Raw ensemble,1,0.7012195087557267,0.10555093727673147
LCE,0.8,Calibrated,1,0.7988971674216713,0.1377067481986149
LCE,0.8,Raw ensemble,2,0.6755639134188992,0.11082820099974668
LCE,0.8,Calibrated,2,0.7880585082081334,0.13169656080940484
LCE,0.8,Raw ensemble,3,0.678780126044652,0.10689930226356524
LCE,0.8,Calibrated,3,0.7927510354034606,0.13109743641737792
LCE,0.8,Raw ensemble,4,0.6718370159381183,0.10710027239832864
LCE,0.8,Calibrated,4,0.7945503737943166,0.1265370016219641
LCE,0.8,Raw ensemble,5,0.6857893495748568,0.11567976160697133
LCE,0.8,Calibrated,5,0.8076836549245845,0.13757539874563562
LCE,0.8,Raw ensemble,6,0.6712964280962256,0.10223190267962799
LCE,0.8,Calibrated,6,0.7969976018359596,0.1295752188881416
LCE,0.8,Raw ensemble,7,0.7009592072129116,0.1059090653782469
LCE,0.8,Calibrated,7,0.8119603919832177,0.13151431617730683
LCE,0.8,Raw ensemble,8,0.6865640413858146,0.1078048767357804
LCE,0.8,Calibrated,8,0.8002538686468511,0.13621883740768276
LCE,0.8,Raw ensemble,9,0.7059674873825269,0.10638983908525995
LCE,0.8,Calibrated,9,0.8074538264437597,0.12204633443512952
LCE,0.8,Raw ensemble,10,0.6739371980590909,0.10518324914873846
LCE,0.8,Calibrated,10,0.827015135133164,0.12731353375540594
LCE,0.8,Raw ensemble,11,0.6935083305706314,0.10172157675365337
LCE,0.8,Calibrated,11,0.8000005001258118,0.12615250413410042
LCE,0.8,Raw ensemble,12,0.6830402123292079,0.10763684013963402
LCE,0.8,Calibrated,12,0.7898434027763191,0.12896618994850143
LCE,0.8,Raw ensemble,13,0.6826056529517621,0.10472497832538795
LCE,0.8,Calibrated,13,0.8009511607644063,0.12434579758683464
LCE,0.8,Raw ensemble,14,0.6983930260665069,0.10797454449581606
LCE,0.8,Calibrated,14,0.7891213313492323,0.13448480590115033
LCE,0.8,Raw ensemble,15,0.6708167902465729,0.09966134628683578
LCE,0.8,Calibrated,15,0.787100580554196,0.11979061907356368
LCE,0.9,Raw ensemble,1,0.7807425663495273,0.11667605350911578
LCE,0.9,Calibrated,1,0.9054921954903343,0.14103007952247823
LCE,0.9,Raw ensemble,2,0.7790814627256597,0.11765700059141625
LCE,0.9,Calibrated,2,0.897747377262546,0.1453812146408928
LCE,0.9,Raw ensemble,3,0.7896012017538449,0.12054187024151339
LCE,0.9,Calibrated,3,0.9101048482791925,0.14936206184761133
LCE,0.9,Raw ensemble,4,0.8084493818892644,0.12580059217834338
LCE,0.9,Calibrated,4,0.9017268474077053,0.15145743961805416
LCE,0.9,Raw ensemble,5,0.8059394005803188,0.10786845295245329
LCE,0.9,Calibrated,5,0.8913277554338975,0.13145566757591065
LCE,0.9,Raw ensemble,6,0.7710894966557196,0.13423760425318657
LCE,0.9,Calibrated,6,0.891837887904783,0.160721615493508
LCE,0.9,Raw ensemble,7,0.7777387293104888,0.12337044373183935
LCE,0.9,Calibrated,7,0.8984752232085154,0.15537305491862577
LCE,0.9,Raw ensemble,8,0.7572087256222024,0.12178495639609249
LCE,0.9,Calibrated,8,0.9105413370822149,0.14843533270371917
LCE,0.9,Raw ensemble,9,0.7995257561411636,0.11649561591616175
LCE,0.9,Calibrated,9,0.9131774505337739,0.14104429498050486
LCE,0.9,Raw ensemble,10,0.7808532261289199,0.11205731599180793
LCE,0.9,Calibrated,10,0.9153578017537267,0.1413760181549154
LCE,0.9,Raw ensemble,11,0.7734118129693832,0.12388640712417513
LCE,0.9,Calibrated,11,0.9064986771463396,0.15407055478740184
LCE,0.9,Raw ensemble,12,0.7874039619039191,0.11799812034842498
LCE,0.9,Calibrated,12,0.8980598103735885,0.14811789794939814
LCE,0.9,Raw ensemble,13,0.8138026265389272,0.12346367600876948
LCE,0.9,Calibrated,13,0.8911990582079896,0.1525331670078032
LCE,0.9,Raw ensemble,14,0.7937704228700305,0.12199677499119439
LCE,0.9,Calibrated,14,0.9021675095524417,0.1539043071457754
LCE,0.9,Raw ensemble,15,0.7950679713629722,0.11783364123067655
LCE,0.9,Calibrated,15,0.8844582724460421,0.14814155114128297
LCE,0.95,Raw ensemble,1,0.8218100408593045,0.13282278189547037
LCE,0.95,Calibrated,1,0.9548339432611272,0.1619848330813798
LCE,0.95,Raw ensemble,2,0.8432250581396085,0.1215481877015126
LCE,0.95,Calibrated,2,0.9609997309912646,0.15096514598616648
LCE,0.95,Raw ensemble,3,0.8062350889110352,0.1277442436461197
LCE,0.95,Calibrated,3,0.9469431009099631,0.1537435653053439
LCE,0.95,Raw ensemble,4,0.8403880373950366,0.12397545933678138
LCE,0.95,Calibrated,4,0.9644451987041559,0.16292688071408448
LCE,0.95,Raw ensemble,5,0.7958740320393424,0.12218068543304156
LCE,0.95,Calibrated,5,0.9684948156392065,0.14684753360088768
LCE,0.95,Raw ensemble,6,0.8484556272253434,0.1336240589991007
LCE,0.95,Calibrated,6,0.9481790880233397,0.16601133506711382
LCE,0.95,Raw ensemble,7,0.8152840700809103,0.1292886455863445
LCE,0.95,Calibrated,7,0.943013905392155,0.1561351988403778
LCE,0.95,Raw ensemble,8,0.8267043380020124,0.1267530950228451
LCE,0.95,Calibrated,8,0.9545272968477105,0.16200892303331887
LCE,0.95,Raw ensemble,9,0.8084182836830734,0.13090546289436633
LCE,0.95,Calibrated,9,0.9469895750692828,0.16055789340240453
LCE,0.95,Raw ensemble,10,0.8266460505220496,0.12325655961248545
LCE,0.95,Calibrated,10,0.947443464485511,0.1552494356894838
LCE,0.95,Raw ensemble,11,0.8175216911970926,0.12581403029891372
LCE,0.95,Calibrated,11,0.9656094794319441,0.15384841603052768
LCE,0.95,Raw ensemble,12,0.8447711212834403,0.12646881365187354
LCE,0.95,Calibrated,12,0.9472728503860831,0.16212349908603674
LCE,0.95,Raw ensemble,13,0.8347431355979538,0.13073926618054027
LCE,0.95,Calibrated,13,0.9355594558329411,0.16244434742792632
LCE,0.95,Raw ensemble,14,0.8279685528104092,0.13739764394604442
LCE,0.95,Calibrated,14,0.95314188586414,0.16779444458781834
LCE,0.95,Raw ensemble,15,0.8355309437118212,0.12863173954949617
LCE,0.95,Calibrated,15,0.9435976913158136,0.15927786075508238
SMP,0.8,Raw ensemble,1,0.6850346688846664,0.10553422306402083
SMP,0.8,Calibrated,1,0.8058629358699412,0.12372762208539156
SMP,0.8,Raw ensemble,2,0.7102311357129812,0.1025508397311948
SMP,0.8,Calibrated,2,0.7955555429640117,0.12814537621536948
SMP,0.8,Raw ensemble,3,0.6847821580294514,0.10450746054574128
SMP,0.8,Calibrated,3,0.7958696234681928,0.12690560801930015
SMP,0.8,Raw ensemble,4,0.7119988467779756,0.11204632882453665
SMP,0.8,Calibrated,4,0.8048000455673907,0.14052698916050857
SMP,0.8,Raw ensemble,5,0.6710990235643752,0.1057007325150261
SMP,0.8,Calibrated,5,0.7992360404045646,0.12987559422029432
SMP,0.8,Raw ensemble,6,0.65463846870296,0.10832383328192925
SMP,0.8,Calibrated,6,0.7840911745833856,0.14529356319294437
SMP,0.8,Raw ensemble,7,0.6586330159872475,0.10057803099023636
SMP,0.8,Calibrated,7,0.7966861755110083,0.1333178951943703
SMP,0.8,Raw ensemble,8,0.7179334192271417,0.10247262823289252
SMP,0.8,Calibrated,8,0.8148694263023235,0.12623932812241379
SMP,0.8,Raw ensemble,9,0.7017654370836104,0.10538847139344126
SMP,0.8,Calibrated,9,0.8087811731132508,0.12887119447453488
SMP,0.8,Raw ensemble,10,0.687883298138205,0.09508707600168924
SMP,0.8,Calibrated,10,0.7963134397620264,0.11458848281907703
SMP,0.8,Raw ensemble,11,0.7043518502373969,0.10925176397384867
SMP,0.8,Calibrated,11,0.8036339150159385,0.13296335273333823
SMP,0.8,Raw ensemble,12,0.6984566436093602,0.10248054754028044
SMP,0.8,Calibrated,12,0.8147434929112712,0.132043647457068
SMP,0.8,Raw ensemble,13,0.6832654630559076,0.10167050627182905
SMP,0.8,Calibrated,13,0.804284348198294,0.12350978078163216
SMP,0.8,Raw ensemble,14,0.6893038658639081,0.09823417548441067
SMP,0.8,Calibrated,14,0.8184004269026622,0.12070879405773313
SMP,0.8,Raw ensemble,15,0.7033982952384003,0.11402695709720796
SMP,0.8,Calibrated,15,0.7958249480407654,0.1397212098068547
SMP,0.9,Raw ensemble,1,0.7913651856702557,0.11745877142262509
SMP,0.9,Calibrated,1,0.8995341194689843,0.1460418710400841
SMP,0.9,Raw ensemble,2,0.8055405783622988,0.11567179283344527
SMP,0.9,Calibrated,2,0.8945276612115725,0.14349154270811046
SMP,0.9,Raw ensemble,3,0.7961497185554859,0.11575048617634562
SMP,0.9,Calibrated,3,0.8925913541579451,0.14671991914602264
SMP,0.9,Raw ensemble,4,0.7894185504641923,0.11770920438362162
SMP,0.9,Calibrated,4,0.8962973755205911,0.14916286183098743
SMP,0.9,Raw ensemble,5,0.8037152592388186,0.11390235137249595
SMP,0.9,Calibrated,5,0.8941084907951563,0.1391317444556795
SMP,0.9,Raw ensemble,6,0.7661077604553241,0.1246354324028476
SMP,0.9,Calibrated,6,0.8937614868077618,0.15306423796534757
SMP,0.9,Raw ensemble,7,0.781514291350985,0.11382476384164458
SMP,0.9,Calibrated,7,0.8990998711453558,0.14404319509902647
SMP,0.9,Raw ensemble,8,0.7722153355721704,0.12180576332408448
SMP,0.9,Calibrated,8,0.8938051563364594,0.1536004254287471
SMP,0.9,Raw ensemble,9,0.8142412601264697,0.10701312680405378
SMP,0.9,Calibrated,9,0.8862548144429352,0.1294125454729012
SMP,0.9,Raw ensemble,10,0.7760793088734221,0.11870400155950346
SMP,0.9,Calibrated,10,0.8882868907840759,0.1446460295103256
SMP,0.9,Raw ensemble,11,0.7745908109662624,0.12359512562713465
SMP,0.9,Calibrated,11,0.9207180210786974,0.14866174525843942
SMP,0.9,Raw ensemble,12,0.7948117990332687,0.11775320584893223
SMP,0.9,Calibrated,12,0.895972113722154,0.15453261597019438
SMP,0.9,Raw ensemble,13,0.8080923047433516,0.11551511807029563
SMP,0.9,Calibrated,13,0.9092312886903625,0.14181350484831703
SMP,0.9,Raw ensemble,14,0.7753602684524853,0.11296072057753763
SMP,0.9,Calibrated,14,0.8947672482467037,0.13692343465746215
SMP,0.9,Raw ensemble,15,0.7918659230718438,0.11653832380673133
SMP,0.9,Calibrated,15,0.8924381429273124,0.13513108073051527
SMP,0.95,Raw ensemble,1,0.836625318307239,0.11698468358409676
SMP,0.95,Calibrated,1,0.9508227178040961,0.1439244254528851
SMP,0.95,Raw ensemble,2,0.8206332484036355,0.11171120744245579
SMP,0.95,Calibrated,2,0.9472647207304781,0.13999077079415273
SMP,0.95,Raw ensemble,3,0.8557608812679252,0.12272156611130768
SMP,0.95,Calibrated,3,0.9399810378287389,0.14841511798684315
SMP,0.95,Raw ensemble,4,0.8435552752566231,0.11989453174308648
SMP,0.95,Calibrated,4,0.9497849188731238,0.14998378783778896
SMP,0.95,Raw ensemble,5,0.8492871969267287,0.1276008781407753
SMP,0.95,Calibrated,5,0.9499860864078553,0.16578122954361693
SMP,0.95,Raw ensemble,6,0.8209427517887606,0.12461587822906231
SMP,0.95,Calibrated,6,0.9487152791550769,0.15394934825000028
SMP,0.95,Raw ensemble,7,0.8384359402355069,0.12496069611020393
SMP,0.95,Calibrated,7,0.9445753974815745,0.15613659781530892
SMP,0.95,Raw ensemble,8,0.84187236682425,0.12391268834622297
SMP,0.95,Calibrated,8,0.9531063774370506,0.15954087072670364
SMP,0.95,Raw ensemble,9,0.8304720652698206,0.1261510843019411
SMP,0.95,Calibrated,9,0.9521755723677023,0.15543991109905206
SMP,0.95,Raw ensemble,10,0.8278616019496894,0.12122923630816063
SMP,0.95,Calibrated,10,0.9320031831356405,0.1448432769043942
SMP,0.95,Raw ensemble,11,0.8314630019022289,0.1299363657185478
SMP,0.95,Calibrated,11,0.9748131173902163,0.1592671506196326
SMP,0.95,Raw ensemble,12,0.8440349307747752,0.1217536018789479
SMP,0.95,Calibrated,12,0.9437720066131402,0.14915568178578253
SMP,0.95,Raw ensemble,13,0.848371431457061,0.12295125924701882
SMP,0.95,Calibrated,13,0.9627531415815826,0.15030534727539793
SMP,0.95,Raw ensemble,14,0.8416036779107873,0.1187973543034153
SMP,0.95,Calibrated,14,0.9497358886367506,0.1468683856413105
SMP,0.95,Raw ensemble,15,0.8307115583049646,0.12285926395285766
SMP,0.95,Calibrated,15,0.9445652722887157,0.14909421826808938
Hydrogel,0.8,Raw ensemble,1,0.6766210582826111,0.1148041029766037
Hydrogel,0.8,Calibrated,1,0.7978106018243651,0.13937279746131093
Hydrogel,0.8,Raw ensemble,2,0.6668530639167154,0.11019867472260539
Hydrogel,0.8,Calibrated,2,0.8008502371150782,0.13378341875987632
Hydrogel,0.8,Raw ensemble,3,0.6949743228756595,0.12274796380334758
Hydrogel,0.8,Calibrated,3,0.7989526939343016,0.1450399626082416
Hydrogel,0.8,Raw ensemble,4,0.70367609256028,0.11119376976673082
Hydrogel,0.8,Calibrated,4,0.8005421678977725,0.12908201978408518
Hydrogel,0.8,Raw ensemble,5,0.6848072723444709,0.10950005997898804
Hydrogel,0.8,Calibrated,5,0.7969528094483346,0.13189662390144624
Hydrogel,0.8,Raw ensemble,6,0.6671844273682006,0.10531676270035403
Hydrogel,0.8,Calibrated,6,0.7987039295335829,0.1329773129812566
Hydrogel,0.8,Raw ensemble,7,0.6664964341949624,0.11927302228230408
Hydrogel,0.8,Calibrated,7,0.7950939037032839,0.14609979748819885
Hydrogel,0.8,Raw ensemble,8,0.6930353523176771,0.11269497373727504
Hydrogel,0.8,Calibrated,8,0.8044300876508003,0.134312293495915
Hydrogel,0.8,Raw ensemble,9,0.6555168884091662,0.11236321270695626
Hydrogel,0.8,Calibrated,9,0.7934264504619594,0.14102497914144627
Hydrogel,0.8,Raw ensemble,10,0.6731738301625072,0.11886801281412457
Hydrogel,0.8,Calibrated,10,0.8021486166991033,0.1476610528461228
Hydrogel,0.8,Raw ensemble,11,0.6921115595659121,0.11032849738762353
Hydrogel,0.8,Calibrated,11,0.7973910316995076,0.14235923809164697
Hydrogel,0.8,Raw ensemble,12,0.6746743937813603,0.1114681056123103
Hydrogel,0.8,Calibrated,12,0.797465281376432,0.1365310427731362
Hydrogel,0.8,Raw ensemble,13,0.6860560679260159,0.11722821624899303
Hydrogel,0.8,Calibrated,13,0.8039939133144276,0.14363979093639817
Hydrogel,0.8,Raw ensemble,14,0.6761660251028858,0.11743886201816227
Hydrogel,0.8,Calibrated,14,0.8063184459838121,0.13937719426199588
Hydrogel,0.8,Raw ensemble,15,0.6835793372371902,0.11381892954916911
Hydrogel,0.8,Calibrated,15,0.7757711707556615,0.14124629337124828
Hydrogel,0.9,Raw ensemble,1,0.7779381882614221,0.12386315896589417
Hydrogel,0.9,Calibrated,1,0.8983727406531185,0.1564231622899687
Hydrogel,0.9,Raw ensemble,2,0.7751439728973246,0.138677479929775
Hydrogel,0.9,Calibrated,2,0.9115016599431587,0.16701851055744202
Hydrogel,0.9,Raw ensemble,3,0.8014342076943562,0.1320768634131216
Hydrogel,0.9,Calibrated,3,0.8912750714968912,0.16098223730097222
Hydrogel,0.9,Raw ensemble,4,0.7864035156973115,0.12778825231934718
Hydrogel,0.9,Calibrated,4,0.8906943446132871,0.1504201287583325
Hydrogel,0.9,Raw ensemble,5,0.7610536926225977,0.13446316473685513
Hydrogel,0.9,Calibrated,5,0.9041237704095764,0.1635600540907993
Hydrogel,0.9,Raw ensemble,6,0.8027219688078134,0.13725578645844982
Hydrogel,0.9,Calibrated,6,0.8954278731820314,0.1694916943866517
