material,method,run,hf_budget,hv
LCE,ParEGO,1,20,0.5481518971041321
LCE,ParEGO,1,30,0.5972141279318073
LCE,ParEGO,1,40,0.6336691009003778
LCE,ParEGO,1,50,0.6524922111560061
LCE,ParEGO,1,60,0.6741859337845597
LCE,ParEGO,1,70,0.6918058351969687
LCE,ParEGO,1,80,0.6959557515204341
LCE,ParEGO,1,90,0.7186064197508943
LCE,ParEGO,1,100,0.727402053015915
LCE,ParEGO,1,110,0.727402053015915
LCE,ParEGO,1,120,0.7307633725651221
LCE,ParEGO,2,20,0.5465092650433101
LCE,ParEGO,2,30,0.5853023386712994
LCE,ParEGO,2,40,0.6165079334172613
LCE,ParEGO,2,50,0.6421861917146016
LCE,ParEGO,2,60,0.6623311199349801
LCE,ParEGO,2,70,0.6800077667732314
LCE,ParEGO,2,80,0.6804157527316443
LCE,ParEGO,2,90,0.6955824717874908
LCE,ParEGO,2,100,0.7019539904109644
LCE,ParEGO,2,110,0.7039757797441656
LCE,ParEGO,2,120,0.7124677334838113
LCE,ParEGO,3,20,0.5497134103983972
LCE,ParEGO,3,30,0.5993445949655855
LCE,ParEGO,3,40,0.6328457491784367
LCE,ParEGO,3,50,0.6482846846539226
LCE,ParEGO,3,60,0.6678058111269134
LCE,ParEGO,3,70,0.6931558668385017
LCE,ParEGO,3,80,0.6950954423720255
LCE,ParEGO,3,90,0.7155337469255383
LCE,ParEGO,3,100,0.7155337469255383
LCE,ParEGO,3,110,0.7251047757258018
LCE,ParEGO,3,120,0.7275580830585398
LCE,ParEGO,4,20,0.556624587905103
LCE,ParEGO,4,30,0.6008996378141516
LCE,ParEGO,4,40,0.638156932542502
LCE,ParEGO,4,50,0.6662419615289652
LCE,ParEGO,4,60,0.6890215045789186
LCE,ParEGO,4,70,0.697746312469352
LCE,ParEGO,4,80,0.7149241376478385
LCE,ParEGO,4,90,0.719409063933615
LCE,ParEGO,4,100,0.729105753187322
LCE,ParEGO,4,110,0.7293112160308586
LCE,ParEGO,4,120,0.7388929684794485
LCE,ParEGO,5,20,0.5598058432308811
LCE,ParEGO,5,30,0.6132550963047873
LCE,ParEGO,5,40,0.6359681025925424
LCE,ParEGO,5,50,0.6639037560822865
LCE,ParEGO,5,60,0.6840233737896848
LCE,ParEGO,5,70,0.6997519901038736
LCE,ParEGO,5,80,0.7036021300019129
LCE,ParEGO,5,90,0.7045908157805822
LCE,ParEGO,5,100,0.7208740403001307
LCE,ParEGO,5,110,0.7237495841009447
LCE,ParEGO,5,120,0.7237495841009447
LCE,ParEGO,6,20,0.5492884331219839
LCE,ParEGO,6,30,0.5837703456873049
LCE,ParEGO,6,40,0.6146733954416904
LCE,ParEGO,6,50,0.6466367603058468
LCE,ParEGO,6,60,0.6571974426403768
LCE,ParEGO,6,70,0.6702231008517674
LCE,ParEGO,6,80,0.688445623176697
LCE,ParEGO,6,90,0.6940865901699561
LCE,ParEGO,6,100,0.6973915298154233
LCE,ParEGO,6,110,0.706066239993228
LCE,ParEGO,6,120,0.7146793960187516
LCE,ParEGO,7,20,0.5592227959429927
LCE,ParEGO,7,30,0.5915584217476801
LCE,ParEGO,7,40,0.6288262867715543
LCE,ParEGO,7,50,0.6531632823735167
LCE,ParEGO,7,60,0.6684117265736991
LCE,ParEGO,7,70,0.6821966887716229
LCE,ParEGO,7,80,0.6939525255525097
LCE,ParEGO,7,90,0.7047087010024203
LCE,ParEGO,7,100,0.7066869723678884
LCE,ParEGO,7,110,0.7142698456894502
LCE,ParEGO,7,120,0.7229185554825099
LCE,ParEGO,8,20,0.5680610125165106
LCE,ParEGO,8,30,0.607162075075341
LCE,ParEGO,8,40,0.6463190381397013
LCE,ParEGO,8,50,0.6737671182459719
LCE,ParEGO,8,60,0.6847131824256493
LCE,ParEGO,8,70,0.7036808777762695
LCE,ParEGO,8,80,0.707087144449405
LCE,ParEGO,8,90,0.7289297790067566
LCE,ParEGO,8,100,0.7341664564044265
LCE,ParEGO,8,110,0.7341664564044265
LCE,ParEGO,8,120,0.736961941955174
LCE,ParEGO,9,20,0.5555497874187076
LCE,ParEGO,9,30,0.5952389720629814
LCE,ParEGO,9,40,0.6280796975597451
LCE,ParEGO,9,50,0.6472060253414115
LCE,ParEGO,9,60,0.6684073357915596
LCE,ParEGO,9,70,0.6825097239070929
LCE,ParEGO,9,80,0.6903036059639843
LCE,ParEGO,9,90,0.7071464354269364
LCE,ParEGO,9,100,0.7071464354269364
LCE,ParEGO,9,110,0.7162859615418334
LCE,ParEGO,9,120,0.7241181102124115
LCE,ParEGO,10,20,0.5551935886000768
LCE,ParEGO,10,30,0.5838682009187811
LCE,ParEGO,10,40,0.6158334725221407
LCE,ParEGO,10,50,0.6431448993925042
LCE,ParEGO,10,60,0.6581212179253361
LCE,ParEGO,10,70,0.6766213089223813
LCE,ParEGO,10,80,0.690311580049522
LCE,ParEGO,10,90,0.7011469482812609
LCE,ParEGO,10,100,0.7019717336751373
LCE,ParEGO,10,110,0.721574715463933
LCE,ParEGO,10,120,0.7238016548789389
LCE,ParEGO,11,20,0.5603126311869415
LCE,ParEGO,11,30,0.5905762252553106
LCE,ParEGO,11,40,0.6164087757230702
LCE,ParEGO,11,50,0.6423978404769124
LCE,ParEGO,11,60,0.6552225690853377
LCE,ParEGO,11,70,0.6733592687067457
LCE,ParEGO,11,80,0.6906224786075118
LCE,ParEGO,11,90,0.6921988954022034
LCE,ParEGO,11,100,0.7075293654173443
LCE,ParEGO,11,110,0.7075293654173443
LCE,ParEGO,11,120,0.7172685870221162
LCE,ParEGO,12,20,0.5505529942283889
LCE,ParEGO,12,30,0.6027816364582964
LCE,ParEGO,12,40,0.6267126337212332
LCE,ParEGO,12,50,0.6470507428574808
LCE,ParEGO,12,60,0.6770919814473867
LCE,ParEGO,12,70,0.6823312310364599
LCE,ParEGO,12,80,0.6890646939997735
LCE,ParEGO,12,90,0.7060238445099956
LCE,ParEGO,12,100,0.7167612064004371
LCE,ParEGO,12,110,0.7167612064004371
LCE,ParEGO,12,120,0.7274464945935041
LCE,ParEGO,13,20,0.5519723543614478
LCE,ParEGO,13,30,0.5979854605480892
LCE,ParEGO,13,40,0.6287112948273631
LCE,ParEGO,13,50,0.6563392097352054
LCE,ParEGO,13,60,0.666775254508695
LCE,ParEGO,13,70,0.6898082186696108
LCE,ParEGO,13,80,0.7025376333021418
LCE,ParEGO,13,90,0.7065816121451681
LCE,ParEGO,13,100,0.7108583434847154
LCE,ParEGO,13,110,0.7196450343220133
LCE,ParEGO,13,120,0.7278929640940269
LCE,ParEGO,14,20,0.563110609051205
LCE,ParEGO,14,30,0.5923427476687921
LCE,ParEGO,14,40,0.6297443270704345
LCE,ParEGO,14,50,0.6561019416571657
LCE,ParEGO,14,60,0.673525691283125
LCE,ParEGO,14,70,0.6928526711397263
LCE,ParEGO,14,80,0.7070870443852582
LCE,ParEGO,14,90,0.7084920828779532
LCE,ParEGO,14,100,0.724825775934088
LCE,ParEGO,14,110,0.7293403344917804
LCE,ParEGO,14,120,0.7307409705190325
LCE,ParEGO,15,20,0.5665958887848638
LCE,ParEGO,15,30,0.6097407915837694
LCE,ParEGO,15,40,0.6453056672822712
LCE,ParEGO,15,50,0.669921068720413
LCE,ParEGO,15,60,0.6857146563004429
LCE,ParEGO,15,70,0.7048761721997703
LCE,ParEGO,15,80,0.7089205436954956
LCE,ParEGO,15,90,0.7126248556427137
LCE,ParEGO,15,100,0.7317082923482509
LCE,ParEGO,15,110,0.7317082923482509
LCE,ParEGO,15,120,0.7368127278069433
LCE,GP-BO,1,20,0.5565890582577518
LCE,GP-BO,1,30,0.6004995534101211
LCE,GP-BO,1,40,0.6410500564498923
LCE,GP-BO,1,50,0.6635023907563321
LCE,GP-BO,1,60,0.6808297830104443
LCE,GP-BO,1,70,0.7110964057407022
LCE,GP-BO,1,80,0.7110964057407022
LCE,GP-BO,1,90,0.7142443071638553
LCE,GP-BO,1,100,0.7221612043238612
LCE,GP-BO,1,110,0.7265249022610734
LCE,GP-BO,1,120,0.7299033658331862
LCE,GP-BO,2,20,0.561047852769856
LCE,GP-BO,2,30,0.6061258404828095
LCE,GP-BO,2,40,0.6605482228681342
LCE,GP-BO,2,50,0.678833502389656
LCE,GP-BO,2,60,0.6914869972937226
LCE,GP-BO,2,70,0.7048508566533672
LCE,GP-BO,2,80,0.7250353887017463
LCE,GP-BO,2,90,0.7250353887017463
LCE,GP-BO,2,100,0.7369770638207866
LCE,GP-BO,2,110,0.7369770638207866
LCE,GP-BO,2,120,0.7369770638207866
LCE,GP-BO,3,20,0.5636281889777488
LCE,GP-BO,3,30,0.6038561566484235
LCE,GP-BO,3,40,0.6438166428133781
LCE,GP-BO,3,50,0.6595777627575495
LCE,GP-BO,3,60,0.6815069262896055
LCE,GP-BO,3,70,0.6918863391126677
LCE,GP-BO,3,80,0.6986856824446093
LCE,GP-BO,3,90,0.7066437893278367
LCE,GP-BO,3,100,0.7207345676885019
LCE,GP-BO,3,110,0.7207345676885019
LCE,GP-BO,3,120,0.7281420709220918
LCE,GP-BO,4,20,0.5517127706996992
LCE,GP-BO,4,30,0.5915831174749505
LCE,GP-BO,4,40,0.632968068032338
LCE,GP-BO,4,50,0.64741503727902
LCE,GP-BO,4,60,0.6695123391529062
LCE,GP-BO,4,70,0.6904315344677924
LCE,GP-BO,4,80,0.6943293355680294
LCE,GP-BO,4,90,0.7206395430138371
LCE,GP-BO,4,100,0.7208225002745956
LCE,GP-BO,4,110,0.7320127560249347
LCE,GP-BO,4,120,0.7431611377928854
LCE,GP-BO,5,20,0.5578970655232702
LCE,GP-BO,5,30,0.5948083776253195
LCE,GP-BO,5,40,0.6297967780327016
LCE,GP-BO,5,50,0.6529748841428439
LCE,GP-BO,5,60,0.6701658453965904
LCE,GP-BO,5,70,0.6815663089276894
LCE,GP-BO,5,80,0.7022249214789917
LCE,GP-BO,5,90,0.7070089990440023
LCE,GP-BO,5,100,0.7114380420058931
LCE,GP-BO,5,110,0.7186767228588669
LCE,GP-BO,5,120,0.7186767228588669
LCE,GP-BO,6,20,0.5710314484887391
LCE,GP-BO,6,30,0.6092693382159788
LCE,GP-BO,6,40,0.6445227063590859
LCE,GP-BO,6,50,0.6845047418682849
LCE,GP-BO,6,60,0.7003840215101172
LCE,GP-BO,6,70,0.7226323633805397
LCE,GP-BO,6,80,0.7226323633805397
LCE,GP-BO,6,90,0.7335006305124784
LCE,GP-BO,6,100,0.7374829437816278
LCE,GP-BO,6,110,0.7452845548238655
LCE,GP-BO,6,120,0.7461882699617759
LCE,GP-BO,7,20,0.5601163754132216
LCE,GP-BO,7,30,0.6021698657181849
LCE,GP-BO,7,40,0.6261158802857515
LCE,GP-BO,7,50,0.6505450087884809
LCE,GP-BO,7,60,0.6837258056857941
LCE,GP-BO,7,70,0.6953325831898222
LCE,GP-BO,7,80,0.7100262392151719
LCE,GP-BO,7,90,0.719928938551453
LCE,GP-BO,7,100,0.719928938551453
LCE,GP-BO,7,110,0.7288055335557173
LCE,GP-BO,7,120,0.7311046983436762
LCE,GP-BO,8,20,0.5585855597701287
LCE,GP-BO,8,30,0.6100794335590041
LCE,GP-BO,8,40,0.6356065184061117
LCE,GP-BO,8,50,0.6611545647971676
LCE,GP-BO,8,60,0.6850999539181786
LCE,GP-BO,8,70,0.703709400992553
LCE,GP-BO,8,80,0.7129892220424832
LCE,GP-BO,8,90,0.7210150571368705
LCE,GP-BO,8,100,0.7293141604732277
LCE,GP-BO,8,110,0.7293141604732277
LCE,GP-BO,8,120,0.7350864966637228
LCE,GP-BO,9,20,0.561346534634156
LCE,GP-BO,9,30,0.6001969546979243
LCE,GP-BO,9,40,0.643272796649877
LCE,GP-BO,9,50,0.666060515580317
LCE,GP-BO,9,60,0.6783016280934588
LCE,GP-BO,9,70,0.7061946393189312
LCE,GP-BO,9,80,0.7125112829130893
LCE,GP-BO,9,90,0.7266148412025472
LCE,GP-BO,9,100,0.7413116921511441
LCE,GP-BO,9,110,0.7413116921511441
LCE,GP-BO,9,120,0.7413116921511441
LCE,GP-BO,10,20,0.5529982343494425
LCE,GP-BO,10,30,0.5939882347228125
LCE,GP-BO,10,40,0.6200424074952595
LCE,GP-BO,10,50,0.643477063389777
LCE,GP-BO,10,60,0.656060887884095
LCE,GP-BO,10,70,0.6804373293935033
LCE,GP-BO,10,80,0.6816812060396003
LCE,GP-BO,10,90,0.6965072641609373
LCE,GP-BO,10,100,0.7046850948439582
LCE,GP-BO,10,110,0.7230974041818391
LCE,GP-BO,10,120,0.7230974041818391
LCE,GP-BO,11,20,0.562331955972589
LCE,GP-BO,11,30,0.6143167236991776
LCE,GP-BO,11,40,0.6473925876430965
LCE,GP-BO,11,50,0.6764933389921061
LCE,GP-BO,11,60,0.6999340914426222
LCE,GP-BO,11,70,0.711866598520578
LCE,GP-BO,11,80,0.7251166850021872
LCE,GP-BO,11,90,0.7288956144634281
LCE,GP-BO,11,100,0.7377595137381374
LCE,GP-BO,11,110,0.7377595137381374
LCE,GP-BO,11,120,0.742786424361945
LCE,GP-BO,12,20,0.5552430474684339
LCE,GP-BO,12,30,0.6056979170020149
LCE,GP-BO,12,40,0.6308040012073348
LCE,GP-BO,12,50,0.6616334359038443
LCE,GP-BO,12,60,0.6843241722011881
LCE,GP-BO,12,70,0.6954796702084642
LCE,GP-BO,12,80,0.7061844915236682
LCE,GP-BO,12,90,0.7207418990341667
LCE,GP-BO,12,100,0.7253614913215727
LCE,GP-BO,12,110,0.7283673875107856
LCE,GP-BO,12,120,0.733322618440497
LCE,GP-BO,13,20,0.5666345502910808
LCE,GP-BO,13,30,0.6103472118983264
LCE,GP-BO,13,40,0.639457864958394
LCE,GP-BO,13,50,0.6726058856349009
LCE,GP-BO,13,60,0.6855690528800891
LCE,GP-BO,13,70,0.7012926266115606
LCE,GP-BO,13,80,0.7101595265478511
LCE,GP-BO,13,90,0.7226224552204032
LCE,GP-BO,13,100,0.7226224552204032
LCE,GP-BO,13,110,0.7299378278544983
LCE,GP-BO,13,120,0.7331159593095783
LCE,GP-BO,14,20,0.5576393852259707
LCE,GP-BO,14,30,0.590044133958218
LCE,GP-BO,14,40,0.6285805160990853
LCE,GP-BO,14,50,0.6515333712478858
LCE,GP-BO,14,60,0.6841519899516243
LCE,GP-BO,14,70,0.6979809826428062
LCE,GP-BO,14,80,0.7048510322685779
LCE,GP-BO,14,90,0.7161124565152914
LCE,GP-BO,14,100,0.7221629396815988
LCE,GP-BO,14,110,0.7271717978912732
LCE,GP-BO,14,120,0.7394454053838626
LCE,GP-BO,15,20,0.5565930962886153
LCE,GP-BO,15,30,0.6062527638151192
LCE,GP-BO,15,40,0.6559468584719765
LCE,GP-BO,15,50,0.6732472778910515
LCE,GP-BO,15,60,0.6968914713661247
LCE,GP-BO,15,70,0.7135965951407915
LCE,GP-BO,15,80,0.7303191724885728
LCE,GP-BO,15,90,0.7397022711107393
LCE,GP-BO,15,100,0.7427169794842302
LCE,GP-BO,15,110,0.7427169794842302
LCE,GP-BO,15,120,0.7468611348417745
LCE,Physics-free,1,20,0.5683274100367924
LCE,Physics-free,1,30,0.6091766193978015
LCE,Physics-free,1,40,0.6444706268170495
LCE,Physics-free,1,50,0.6725677668294285
LCE,Physics-free,1,60,0.6955575572743058
LCE,Physics-free,1,70,0.7218151046738226
LCE,Physics-free,1,80,0.7300986319032989
LCE,Physics-free,1,90,0.7358687373426055
LCE,Physics-free,1,100,0.7432522029007534
LCE,Physics-free,1,110,0.7432522029007534
LCE,Physics-free,1,120,0.7458794140725222
LCE,Physics-free,2,20,0.5777710269171333
LCE,Physics-free,2,30,0.6322079699973647
LCE,Physics-free,2,40,0.6665546857858395
LCE,Physics-free,2,50,0.7002793418152188
LCE,Physics-free,2,60,0.7169597807603985
LCE,Physics-free,2,70,0.7392043741988438
LCE,Physics-free,2,80,0.7581063956404956
LCE,Physics-free,2,90,0.7581109219562683
LCE,Physics-free,2,100,0.7637635912035825
LCE,Physics-free,2,110,0.768219759687544
LCE,Physics-free,2,120,0.7721242981468331
LCE,Physics-free,3,20,0.5643555946688508
LCE,Physics-free,3,30,0.6066427392315807
LCE,Physics-free,3,40,0.6408444852624363
LCE,Physics-free,3,50,0.6767501621266895
LCE,Physics-free,3,60,0.6979754826335557
LCE,Physics-free,3,70,0.7157885236935545
LCE,Physics-free,3,80,0.7360499612738501
LCE,Physics-free,3,90,0.7445872093819131
LCE,Physics-free,3,100,0.7519438658541563
LCE,Physics-free,3,110,0.7688725347818601
LCE,Physics-free,3,120,0.7688725347818601
LCE,Physics-free,4,20,0.5682716650068893
LCE,Physics-free,4,30,0.6163567850263073
LCE,Physics-free,4,40,0.6586244044651085
LCE,Physics-free,4,50,0.6936544655333536
LCE,Physics-free,4,60,0.7152376030082643
LCE,Physics-free,4,70,0.7237716791295571
LCE,Physics-free,4,80,0.7374442601248342
LCE,Physics-free,4,90,0.7479287955269934
LCE,Physics-free,4,100,0.7542071181196259
LCE,Physics-free,4,110,0.7558720407758217
LCE,Physics-free,4,120,0.7717188404379272
LCE,Physics-free,5,20,0.5705849168000683
LCE,Physics-free,5,30,0.6377993390981743
LCE,Physics-free,5,40,0.6821938141306524
LCE,Physics-free,5,50,0.7014971275461741
LCE,Physics-free,5,60,0.724074088675927
LCE,Physics-free,5,70,0.738825215311703
LCE,Physics-free,5,80,0.7552987744036789
LCE,Physics-free,5,90,0.7664871568874865
LCE,Physics-free,5,100,0.7698219711727863
LCE,Physics-free,5,110,0.7896200186751547
LCE,Physics-free,5,120,0.7896200186751547
LCE,Physics-free,6,20,0.5720010140097869
LCE,Physics-free,6,30,0.6304859252376135
LCE,Physics-free,6,40,0.6672681371632578
LCE,Physics-free,6,50,0.6963676243070679
LCE,Physics-free,6,60,0.7253216317989987
LCE,Physics-free,6,70,0.7381871099390684
LCE,Physics-free,6,80,0.7469329920824646
LCE,Physics-free,6,90,0.7501539575473676
LCE,Physics-free,6,100,0.7577248896072715
LCE,Physics-free,6,110,0.7691194061161624
LCE,Physics-free,6,120,0.7691194061161624
LCE,Physics-free,7,20,0.5693281538767688
LCE,Physics-free,7,30,0.6216590635593807
LCE,Physics-free,7,40,0.662781476610571
LCE,Physics-free,7,50,0.6960277373770138
LCE,Physics-free,7,60,0.7148581293960837
LCE,Physics-free,7,70,0.7296273036694157
LCE,Physics-free,7,80,0.736915747491241
LCE,Physics-free,7,90,0.7450533082389585
LCE,Physics-free,7,100,0.7538918316480379
LCE,Physics-free,7,110,0.7565355217052394
LCE,Physics-free,7,120,0.7606007928630827
LCE,Physics-free,8,20,0.5647603234775935
LCE,Physics-free,8,30,0.6225201876871302
LCE,Physics-free,8,40,0.661451705607084
LCE,Physics-free,8,50,0.6870485515446967
LCE,Physics-free,8,60,0.7109409996760951
LCE,Physics-free,8,70,0.7241390338684693
LCE,Physics-free,8,80,0.7409253098303734
LCE,Physics-free,8,90,0.7409253098303734
LCE,Physics-free,8,100,0.7537476297946667
LCE,Physics-free,8,110,0.7552861422862414
LCE,Physics-free,8,120,0.769641347402892
LCE,Physics-free,9,20,0.5715666189660957
LCE,Physics-free,9,30,0.6332183186049269
LCE,Physics-free,9,40,0.6686954340347385
LCE,Physics-free,9,50,0.6942075097229311
LCE,Physics-free,9,60,0.7097660865933784
LCE,Physics-free,9,70,0.7349892695696995
LCE,Physics-free,9,80,0.7464092738878231
LCE,Physics-free,9,90,0.7529848898548482
LCE,Physics-free,9,100,0.7642919109874194
LCE,Physics-free,9,110,0.7764049635563524
LCE,Physics-free,9,120,0.7764049635563524
LCE,Physics-free,10,20,0.5718068529064986
LCE,Physics-free,10,30,0.6261711532882561
LCE,Physics-free,10,40,0.6734103604481626
LCE,Physics-free,10,50,0.7014369954456124
LCE,Physics-free,10,60,0.7223812054069866
LCE,Physics-free,10,70,0.7447653128889228
LCE,Physics-free,10,80,0.7541042931134302
LCE,Physics-free,10,90,0.7646313695744837
LCE,Physics-free,10,100,0.7679096517540834
LCE,Physics-free,10,110,0.7726425242988162
LCE,Physics-free,10,120,0.7774792579717403
LCE,Physics-free,11,20,0.5685792604957752
LCE,Physics-free,11,30,0.619596695660123
LCE,Physics-free,11,40,0.6660248027281974
LCE,Physics-free,11,50,0.6988501653457255
LCE,Physics-free,11,60,0.726358677393169
LCE,Physics-free,11,70,0.736582037572323
LCE,Physics-free,11,80,0.7552654303664852
LCE,Physics-free,11,90,0.7594244975807926
LCE,Physics-free,11,100,0.7720545734676398
LCE,Physics-free,11,110,0.7730790528295468
LCE,Physics-free,11,120,0.7796282417945761
LCE,Physics-free,12,20,0.5736837919761631
LCE,Physics-free,12,30,0.6262438271839057
LCE,Physics-free,12,40,0.6706409281027529
LCE,Physics-free,12,50,0.6912603706913532
