material,method,hf_shots,run,relative_error
LCE,From scratch,0,1,0.38288235298173634
LCE,From scratch,0,2,0.4056815878554544
LCE,From scratch,0,3,0.36552726608920805
LCE,From scratch,0,4,0.35563842620817643
LCE,From scratch,0,5,0.3871164871237488
LCE,From scratch,0,6,0.39992909011903666
LCE,From scratch,0,7,0.37910860315122413
LCE,From scratch,0,8,0.372127876656692
LCE,From scratch,0,9,0.3845526357044812
LCE,From scratch,0,10,0.3781396551778796
LCE,From scratch,0,11,0.37807360383275035
LCE,From scratch,0,12,0.4048809591634771
LCE,From scratch,0,13,0.4018981332233219
LCE,From scratch,0,14,0.42
LCE,From scratch,0,15,0.405954650008882
LCE,From scratch,5,1,0.3226450966600954
LCE,From scratch,5,2,0.3288118036544828
LCE,From scratch,5,3,0.3416235107301574
LCE,From scratch,5,4,0.3353322864636467
LCE,From scratch,5,5,0.3130957479799653
LCE,From scratch,5,6,0.3083914965640257
LCE,From scratch,5,7,0.3236129970115963
LCE,From scratch,5,8,0.3205703165029288
LCE,From scratch,5,9,0.3253272066877269
LCE,From scratch,5,10,0.31677620838567033
LCE,From scratch,5,11,0.31265439717104676
LCE,From scratch,5,12,0.3216524035896557
LCE,From scratch,5,13,0.31346739503856885
LCE,From scratch,5,14,0.32307238859239507
LCE,From scratch,5,15,0.31111976788430035
LCE,From scratch,10,1,0.25629141043472364
LCE,From scratch,10,2,0.24599725232981662
LCE,From scratch,10,3,0.2528958292222754
LCE,From scratch,10,4,0.26418188414706784
LCE,From scratch,10,5,0.25649426589991176
LCE,From scratch,10,6,0.27081028492882336
LCE,From scratch,10,7,0.2484141524284602
LCE,From scratch,10,8,0.2668408071903292
LCE,From scratch,10,9,0.2620330677464889
LCE,From scratch,10,10,0.27175775007762676
LCE,From scratch,10,11,0.2560146303725005
LCE,From scratch,10,12,0.2636390720790806
LCE,From scratch,10,13,0.2677945210436804
LCE,From scratch,10,14,0.2592275269343779
LCE,From scratch,10,15,0.2622588087755628
LCE,From scratch,20,1,0.18495382082889913
LCE,From scratch,20,2,0.1918948828813436
LCE,From scratch,20,3,0.19925942124291451
LCE,From scratch,20,4,0.2115522965315045
LCE,From scratch,20,5,0.21763991391885285
LCE,From scratch,20,6,0.20052527026537656
LCE,From scratch,20,7,0.2090356618200613
LCE,From scratch,20,8,0.2146752560096317
LCE,From scratch,20,9,0.2115234758048582
LCE,From scratch,20,10,0.20496739786196733
LCE,From scratch,20,11,0.21689081022045129
LCE,From scratch,20,12,0.2135631093139364
LCE,From scratch,20,13,0.17563687737954886
LCE,From scratch,20,14,0.19006770199447492
LCE,From scratch,20,15,0.19258200042803766
LCE,Direct fine-tuning,0,1,0.338621135286404
LCE,Direct fine-tuning,0,2,0.31125943498311287
LCE,Direct fine-tuning,0,3,0.3253517208470608
LCE,Direct fine-tuning,0,4,0.3146195822819722
LCE,Direct fine-tuning,0,5,0.3399074829524587
LCE,Direct fine-tuning,0,6,0.3398516829499516
LCE,Direct fine-tuning,0,7,0.34969490599588837
LCE,Direct fine-tuning,0,8,0.3581734093240373
LCE,Direct fine-tuning,0,9,0.3186294397129185
LCE,Direct fine-tuning,0,10,0.31365737949340616
LCE,Direct fine-tuning,0,11,0.33309883167164195
LCE,Direct fine-tuning,0,12,0.30922679709478507
LCE,Direct fine-tuning,0,13,0.33794388498369177
LCE,Direct fine-tuning,0,14,0.34092724416316944
LCE,Direct fine-tuning,0,15,0.32234529252895217
LCE,Direct fine-tuning,5,1,0.25420350689360877
LCE,Direct fine-tuning,5,2,0.2714483322104396
LCE,Direct fine-tuning,5,3,0.2543364891079051
