correlation,method,run,hv,hf_calls
0.3,MF-SAEA,1,0.7117819155647693,88
0.3,MF-SAEA,2,0.7340906757628759,92
0.3,MF-SAEA,3,0.7364492800274677,95
0.3,MF-SAEA,4,0.7144026984229351,91
0.3,MF-SAEA,5,0.7144502790849909,92
0.3,MF-SAEA,6,0.6920760603641867,91
0.3,MF-SAEA,7,0.7470823989118576,90
0.3,MF-SAEA,8,0.7105638087348333,92
0.3,MF-SAEA,9,0.7196273772414559,95
0.3,MF-SAEA,10,0.7289670941162716,89
0.3,MF-SAEA,11,0.721847751045596,93
0.3,MF-SAEA,12,0.7047238163863546,91
0.3,MF-SAEA,13,0.7200595401843789,85
0.3,MF-SAEA,14,0.7103710764590747,97
0.3,MF-SAEA,15,0.7167967119478631,94
0.3,Proposed,1,0.7816934027354837,78
0.3,Proposed,2,0.7713742011611777,87
0.3,Proposed,3,0.7814656619919528,79
0.3,Proposed,4,0.7772096195912159,84
0.3,Proposed,5,0.7698541787489201,83
0.3,Proposed,6,0.7589087043763229,86
0.3,Proposed,7,0.7928578813672595,76
0.3,Proposed,8,0.7677906617234789,83
0.3,Proposed,9,0.7652560530670495,80
0.3,Proposed,10,0.7826970022684855,84
0.3,Proposed,11,0.7679352830164751,81
0.3,Proposed,12,0.7823254642522642,83
0.3,Proposed,13,0.7700767744618335,83
0.3,Proposed,14,0.7738673037755738,85
0.3,Proposed,15,0.7857850332412312,82
0.5,MF-SAEA,1,0.7542229507919403,85
0.5,MF-SAEA,2,0.7596296602831255,87
0.5,MF-SAEA,3,0.7634444077353038,90
0.5,MF-SAEA,4,0.771054788470244,86
0.5,MF-SAEA,5,0.7606528674655673,82
0.5,MF-SAEA,6,0.7694421662690758,85
0.5,MF-SAEA,7,0.7553532041995732,82
0.5,MF-SAEA,8,0.7519938397484113,84
0.5,MF-SAEA,9,0.7721989866469571,91
0.5,MF-SAEA,10,0.7708303294709591,88
0.5,MF-SAEA,11,0.7618361391474759,81
0.5,MF-SAEA,12,0.7702111771561245,86
0.5,MF-SAEA,13,0.7566231375307307,80
0.5,MF-SAEA,14,0.752740273630895,86
0.5,MF-SAEA,15,0.7666234612035606,81
0.5,Proposed,1,0.822166006715615,74
0.5,Proposed,2,0.8208318793760913,70
0.5,Proposed,3,0.832820236302189,67
0.5,Proposed,4,0.8155805537960595,72
0.5,Proposed,5,0.8209026039889021,69
0.5,Proposed,6,0.8257512665054596,77
0.5,Proposed,7,0.8175606679557842,74
