method,material,hv_mean,hv_sd,igd_mean,igd_sd,calls_mean,calls_sd,feasible_mean,feasible_sd
GP-BO,DEA,0.7392448143640087,0.012098412493636138,0.11832483041859915,0.00527607319133427,92.73333333333333,2.9146591730832094,0.8527328439143517,0.011379440720825066
GP-BO,Hydrogel,0.7047105164749614,0.009614557941198715,0.13414774939160853,0.006363836310660964,96.53333333333333,3.3988793671416095,0.8431692055300845,0.009101358497542287
GP-BO,LCE,0.7501683240488929,0.012613280827779285,0.11263030085860119,0.006912513759649425,94.0,2.853569193634027,0.8529797821599648,0.011332611936857959
GP-BO,MRC,0.7299707976173923,0.009565186839882967,0.12389214077949617,0.005124370124835151,95.0,4.088310863215479,0.8524934284386819,0.01075167913094252
GP-BO,PRF,0.7245282044320391,0.012469472564144652,0.12566461701611448,0.00789461154719573,96.2,2.5967012040004036,0.8478627160364177,0.012262924192241705
GP-BO,SMP,0.7617793676138188,0.012139621450015898,0.1098304904010816,0.005944977339896931,92.73333333333333,2.737743248596934,0.8577455777432167,0.012563050628469578
MF-SAEA,DEA,0.7989366224961553,0.012356258452454532,0.09078509272011483,0.005858864693131137,74.93333333333334,2.631313269796951,0.9020360609820484,0.00901273555571539
MF-SAEA,Hydrogel,0.7818706813088835,0.00982669425304675,0.09854809113901056,0.006696653234465804,77.06666666666666,2.404361117002265,0.9039623379786462,0.01149322648019861
MF-SAEA,LCE,0.8064106178818901,0.01621136195195017,0.08862410611516534,0.006971320236521988,75.4,3.561701038227984,0.9080275104751852,0.01330132728328101
MF-SAEA,MRC,0.790204421588426,0.016838941547463092,0.09546264638516418,0.010564421481675587,76.6,3.813509819425818,0.8995329934321425,0.010210173341018529
MF-SAEA,PRF,0.7859766781457754,0.012130184763893163,0.09757745179371795,0.008222323057711357,77.13333333333334,3.9436507137905785,0.9024307640615651,0.01199860159525453
MF-SAEA,SMP,0.8232855196365982,0.00944933372804137,0.08052916657000246,0.005138732419872246,74.2,3.7454734585325062,0.9055085498339513,0.012309681374168147
MOEA/D,DEA,0.667311580613433,0.013365169974161177,0.16002365227712628,0.008931694230595302,119.0,1.253566341056014,0.8078441295114203,0.010373968523339421
MOEA/D,Hydrogel,0.636360022799442,0.011207166392723593,0.17575675685492342,0.0072843518827411,119.26666666666667,1.579632265825847,0.7987457663777258,0.011493417390360042
MOEA/D,LCE,0.6835224400818377,0.014732629004882224,0.1539418585017773,0.00885579062723143,117.2,3.7644957924572804,0.8006730542375187,0.0092950832170712
MOEA/D,MRC,0.6585154974143727,0.012224326547989977,0.16527707393813998,0.00638604770711481,119.26666666666667,1.2227992865708213,0.8034953456638866,0.014524910994971784
MOEA/D,PRF,0.652540884276224,0.011497755055154834,0.16858119854253298,0.005864642646774459,118.2,1.5212776585113295,0.8017949810615661,0.010413149039775233
MOEA/D,SMP,0.6976209760223794,0.0072692251649618626,0.1467467984003972,0.005006644427891148,118.33333333333333,2.609506430251478,0.8080864861290354,0.012078177007231508
NSGA-II,DEA,0.657641822471074,0.013645248353398962,0.16616230644578286,0.008380352914779725,118.06666666666666,2.463060426921486,0.7933100757504955,0.012777381868853426
NSGA-II,Hydrogel,0.6181060855726717,0.015172902933390416,0.1833605460659349,0.00866929490135809,117.66666666666667,2.3804761428476158,0.7854598927236457,0.01422908224923301
NSGA-II,LCE,0.664093277402475,0.013242416798099111,0.16418165284326325,0.007098595620907359,119.33333333333333,2.093072473889133,0.7952377672238974,0.008322039211971197
NSGA-II,MRC,0.6473239544489247,0.012071480956159529,0.16880395847023644,0.007178737561463455,118.33333333333333,2.0930724738891353,0.7902439683588403,0.00949077886782582
NSGA-II,PRF,0.6372338582084928,0.009144924389112899,0.1746162181492123,0.004868210246870443,118.46666666666667,1.6417180315870619,0.7906903247889492,0.011190618370858853
NSGA-II,SMP,0.6785302681905542,0.011824663228266523,0.15586797184057424,0.007919183841662035,118.53333333333333,2.0655911179772906,0.802096101109242,0.009540008170346968
ParEGO,DEA,0.7306882445982023,0.01484879278052676,0.12411757953248276,0.008216041270295456,96.93333333333334,4.078982132603088,0.8457965821196097,0.008906252764460759
ParEGO,Hydrogel,0.6929396880786356,0.01714803946886782,0.14026924175708985,0.010218309304586034,98.73333333333333,3.011090610836322,0.8465815654441908,0.012182192440336971
ParEGO,LCE,0.7371273831603113,0.012878806346376436,0.12026763069168035,0.006703572876224472,95.13333333333334,4.373077809027587,0.8432905666278326,0.012310035360353156
ParEGO,MRC,0.7201927306457645,0.010348091917140409,0.1269625012093454,0.007863937985402972,97.06666666666666,4.495500395898524,0.8376384434821702,0.00902056400755663
ParEGO,PRF,0.7167295895786594,0.006981681764275032,0.12821268312215997,0.00568407263738295,99.33333333333333,3.4778208831448025,0.8414538723909216,0.01057702295511307
ParEGO,SMP,0.7507911771791264,0.011300968193269114,0.11297830031364947,0.004849844452456103,95.66666666666667,3.0158312444893376,0.8487553501692846,0.01164997630686703
Physics-free,DEA,0.7765032609403915,0.014215879121978966,0.10248674187783847,0.006635032167984031,84.0,2.9999999999999987,0.8635412064092161,0.007072351362072467
Physics-free,Hydrogel,0.7288433531491126,0.01584540550733091,0.12347332852956912,0.008311600810031317,83.73333333333333,2.7115274205474953,0.8576618305060179,0.008853970229847255
Physics-free,LCE,0.7795032918441861,0.008991707281047883,0.09943918619962143,0.005702517609630958,81.73333333333333,3.5348604067541465,0.8672025121276594,0.008860215742346288
Physics-free,MRC,0.757964309149309,0.01091012961487486,0.10946399747838585,0.005871224497953366,83.33333333333333,3.015831244489337,0.8613351680828636,0.01176419016613016
Physics-free,PRF,0.7508058549332565,0.012552760294615946,0.11445448164076001,0.007924080371567409,83.46666666666667,2.948768911806772,0.8575031782258825,0.013980487692608042
Physics-free,SMP,0.7943710896408241,0.01200055981536139,0.09497793383501789,0.006995308465623843,81.0,3.964124835860458,0.8660203208469431,0.009692385466450876
Proposed,DEA,0.8704075038859308,0.011620369187589557,0.06001885858193948,0.005694705325489405,60.0,2.8284271247461907,0.947971613623631,0.010249055170317913
