scenario,method,run,coverage,risk
In domain,Variance gate,1,0.3,0.03317166218908713
In domain,Variance gate,1,0.35,0.03292703257854293
In domain,Variance gate,1,0.39999999999999997,0.03330617839098848
In domain,Variance gate,1,0.44999999999999996,0.04227252984279935
In domain,Variance gate,1,0.5,0.042547596772906655
In domain,Variance gate,1,0.5499999999999999,0.04157402397183002
In domain,Variance gate,1,0.6,0.0480316311169832
In domain,Variance gate,1,0.6499999999999999,0.0533239040660105
In domain,Variance gate,1,0.7,0.05567723151837412
In domain,Variance gate,1,0.75,0.06000392139808905
In domain,Variance gate,1,0.7999999999999999,0.06446925208538225
In domain,Variance gate,1,0.8499999999999999,0.06263833739445064
In domain,Variance gate,1,0.8999999999999999,0.07652977357379488
In domain,Variance gate,1,0.95,0.07862425451193829
In domain,Variance gate,1,1.0,0.08385606266471331
In domain,Variance gate,2,0.3,0.03808767677866938
In domain,Variance gate,2,0.35,0.02991685597207285
In domain,Variance gate,2,0.39999999999999997,0.03489924713097848
In domain,Variance gate,2,0.44999999999999996,0.038571439726459586
In domain,Variance gate,2,0.5,0.04491711077562316
In domain,Variance gate,2,0.5499999999999999,0.04463381424036843
In domain,Variance gate,2,0.6,0.04322723739565346
In domain,Variance gate,2,0.6499999999999999,0.054598170596265025
In domain,Variance gate,2,0.7,0.05537838337865705
In domain,Variance gate,2,0.75,0.058009023104299486
In domain,Variance gate,2,0.7999999999999999,0.06484425962645658
In domain,Variance gate,2,0.8499999999999999,0.06314989976174422
In domain,Variance gate,2,0.8999999999999999,0.07648394786159073
In domain,Variance gate,2,0.95,0.08039743635022557
In domain,Variance gate,2,1.0,0.07987317864439306
In domain,Variance gate,3,0.3,0.0320319301375214
In domain,Variance gate,3,0.35,0.03825627149168223
In domain,Variance gate,3,0.39999999999999997,0.036957554410676566
In domain,Variance gate,3,0.44999999999999996,0.03659323171218023
In domain,Variance gate,3,0.5,0.044235865430597356
In domain,Variance gate,3,0.5499999999999999,0.04652028193015944
In domain,Variance gate,3,0.6,0.052541769911161995
In domain,Variance gate,3,0.6499999999999999,0.04556276114838702
In domain,Variance gate,3,0.7,0.0563700713723369
In domain,Variance gate,3,0.75,0.06025118429295795
In domain,Variance gate,3,0.7999999999999999,0.06191690990922412
In domain,Variance gate,3,0.8499999999999999,0.07444966057956118
In domain,Variance gate,3,0.8999999999999999,0.07349315506269165
In domain,Variance gate,3,0.95,0.07864726987599119
In domain,Variance gate,3,1.0,0.08768894195273479
In domain,Variance gate,4,0.3,0.036935148091677604
In domain,Variance gate,4,0.35,0.036617237262205025
In domain,Variance gate,4,0.39999999999999997,0.041602351065202096
In domain,Variance gate,4,0.44999999999999996,0.03205108841493589
In domain,Variance gate,4,0.5,0.04371289968227694
In domain,Variance gate,4,0.5499999999999999,0.039357799907651696
In domain,Variance gate,4,0.6,0.0479529022742308
In domain,Variance gate,4,0.6499999999999999,0.05240435014143268
In domain,Variance gate,4,0.7,0.05594186402497266
In domain,Variance gate,4,0.75,0.059917108219797954
In domain,Variance gate,4,0.7999999999999999,0.06531649654562018
In domain,Variance gate,4,0.8499999999999999,0.07002291567148788
In domain,Variance gate,4,0.8999999999999999,0.06948746378954666
In domain,Variance gate,4,0.95,0.08384012121314594
In domain,Variance gate,4,1.0,0.08521839892864727
In domain,Variance gate,5,0.3,0.03625303224942436
In domain,Variance gate,5,0.35,0.034671345937188236
In domain,Variance gate,5,0.39999999999999997,0.03545663548794284
In domain,Variance gate,5,0.44999999999999996,0.03354722164816181
In domain,Variance gate,5,0.5,0.037136894159546886
In domain,Variance gate,5,0.5499999999999999,0.043234966880855034
In domain,Variance gate,5,0.6,0.047629749861847176
In domain,Variance gate,5,0.6499999999999999,0.05084792735907389
In domain,Variance gate,5,0.7,0.053852205926826234
In domain,Variance gate,5,0.75,0.058232142360283366
In domain,Variance gate,5,0.7999999999999999,0.0613293268366503
In domain,Variance gate,5,0.8499999999999999,0.06886407004570576
In domain,Variance gate,5,0.8999999999999999,0.07083710182605027
