analysis,setting,run,hv,hf_calls,accepted_fraction,violation_rate
physics_weight,0.0,1,0.8108258103556666,63.0,,
physics_weight,0.0,2,0.824231568899353,63.0,,
physics_weight,0.0,3,0.8167649575864318,66.0,,
physics_weight,0.0,4,0.8150204536699415,66.0,,
physics_weight,0.0,5,0.8160200907533262,69.0,,
physics_weight,0.0,6,0.8168053627166507,67.0,,
physics_weight,0.0,7,0.8088443675374068,71.0,,
physics_weight,0.0,8,0.8090629269932468,68.0,,
physics_weight,0.0,9,0.8334303207880752,69.0,,
physics_weight,0.0,10,0.8149937459382397,64.0,,
physics_weight,0.0,11,0.8214990368608427,64.0,,
physics_weight,0.0,12,0.8085483262015648,66.0,,
physics_weight,0.0,13,0.8256026631814426,68.0,,
physics_weight,0.0,14,0.8250968469131608,66.0,,
physics_weight,0.0,15,0.8079517026661494,63.0,,
physics_weight,0.03,1,0.8460221973056731,58.0,,
physics_weight,0.03,2,0.844794464553118,63.0,,
physics_weight,0.03,3,0.8367469990093285,64.0,,
physics_weight,0.03,4,0.8444511600670782,63.0,,
physics_weight,0.03,5,0.8473775276978635,67.0,,
physics_weight,0.03,6,0.8481545477694351,63.0,,
physics_weight,0.03,7,0.8347495964620262,71.0,,
physics_weight,0.03,8,0.8395608083318964,66.0,,
physics_weight,0.03,9,0.8229211181170788,59.0,,
physics_weight,0.03,10,0.8544801680854002,66.0,,
physics_weight,0.03,11,0.8349919237139056,56.0,,
physics_weight,0.03,12,0.856095863757334,67.0,,
physics_weight,0.03,13,0.8311255828047636,65.0,,
physics_weight,0.03,14,0.8351955382228426,61.0,,
physics_weight,0.03,15,0.855900647920979,62.0,,
physics_weight,0.1,1,0.8497817545598069,60.0,,
physics_weight,0.1,2,0.8388106339779439,61.0,,
physics_weight,0.1,3,0.8576308256997036,59.0,,
physics_weight,0.1,4,0.8333693617072655,52.0,,
physics_weight,0.1,5,0.8527237136180396,67.0,,
physics_weight,0.1,6,0.8511115866062762,53.0,,
physics_weight,0.1,7,0.8523025967338956,61.0,,
physics_weight,0.1,8,0.861960818612135,61.0,,
physics_weight,0.1,9,0.8531950455260066,64.0,,
physics_weight,0.1,10,0.8270179073980679,63.0,,
physics_weight,0.1,11,0.8499481556200695,61.0,,
physics_weight,0.1,12,0.8529291975330054,57.0,,
physics_weight,0.1,13,0.8450106479859253,60.0,,
physics_weight,0.1,14,0.8394822771155789,55.0,,
physics_weight,0.1,15,0.8421683246358916,53.0,,
physics_weight,0.3,1,0.8619144212470089,53.0,,
physics_weight,0.3,2,0.8515680235366667,60.0,,
physics_weight,0.3,3,0.8425658651674844,62.0,,
physics_weight,0.3,4,0.8468071531195063,60.0,,
physics_weight,0.3,5,0.8682611880217465,62.0,,
physics_weight,0.3,6,0.8500584493297865,58.0,,
physics_weight,0.3,7,0.8314017196767121,60.0,,
physics_weight,0.3,8,0.8333486485836027,61.0,,
physics_weight,0.3,9,0.8338359238882286,57.0,,
physics_weight,0.3,10,0.8563234786587365,60.0,,
physics_weight,0.3,11,0.8628008553906994,58.0,,
physics_weight,0.3,12,0.8421483838165658,62.0,,
physics_weight,0.3,13,0.8535350788784785,60.0,,
physics_weight,0.3,14,0.8402185568448848,57.0,,
physics_weight,0.3,15,0.8630162498257856,61.0,,
physics_weight,1.0,1,0.855924701104131,59.0,,
physics_weight,1.0,2,0.8499741972423303,62.0,,
physics_weight,1.0,3,0.8469784231244638,58.0,,
physics_weight,1.0,4,0.8476708482650331,58.0,,
physics_weight,1.0,5,0.8517705169793466,60.0,,
physics_weight,1.0,6,0.8433850460635387,63.0,,
physics_weight,1.0,7,0.830337407813668,63.0,,
physics_weight,1.0,8,0.8513916813517943,61.0,,
physics_weight,1.0,9,0.8591393269461618,54.0,,
physics_weight,1.0,10,0.8434673963968384,66.0,,
physics_weight,1.0,11,0.8463719062805484,56.0,,
physics_weight,1.0,12,0.8534072734794018,59.0,,
physics_weight,1.0,13,0.8452925683845438,59.0,,
physics_weight,1.0,14,0.8510072450454256,64.0,,
physics_weight,1.0,15,0.8556537676094351,60.0,,
physics_weight,3.0,1,0.8468563418066025,61.0,,
physics_weight,3.0,2,0.8518798574432372,62.0,,
physics_weight,3.0,3,0.8304009213871514,73.0,,
physics_weight,3.0,4,0.8462164756268743,65.0,,
physics_weight,3.0,5,0.8390856456453194,67.0,,
physics_weight,3.0,6,0.8373984257553345,67.0,,
physics_weight,3.0,7,0.8478630418088182,65.0,,
physics_weight,3.0,8,0.8473709470480955,68.0,,
physics_weight,3.0,9,0.8369453422175458,64.0,,
physics_weight,3.0,10,0.8335157734402154,67.0,,
physics_weight,3.0,11,0.8327730975206683,66.0,,
physics_weight,3.0,12,0.8369849893770619,66.0,,
physics_weight,3.0,13,0.8372607899060159,64.0,,
physics_weight,3.0,14,0.8484689253119494,61.0,,
physics_weight,3.0,15,0.8237507055618931,67.0,,
gate_quantile,0.8,1,,,0.6592802466943863,0.02447723433037679
gate_quantile,0.8,2,,,0.6752535724189641,0.02466508684215099
gate_quantile,0.8,3,,,0.6527725345714479,0.018617754628590968
gate_quantile,0.8,4,,,0.6518060231020192,0.029410546017778517
gate_quantile,0.8,5,,,0.6684773962836039,0.026411560362509846
gate_quantile,0.8,6,,,0.6638675182008337,0.027242493835963014
gate_quantile,0.8,7,,,0.659888301877661,0.02712669777913641
gate_quantile,0.8,8,,,0.6591542997181504,0.02153361032878155
gate_quantile,0.8,9,,,0.6750861227988643,0.02752621583363282
gate_quantile,0.8,10,,,0.6593744030453744,0.025750826720500525
gate_quantile,0.8,11,,,0.6473442087456657,0.027315800290491923
gate_quantile,0.8,12,,,0.6415777768467635,0.02144675582431687
gate_quantile,0.8,13,,,0.6575150342433903,0.0202703099196269
gate_quantile,0.8,14,,,0.6644983288129488,0.02916114639014269
gate_quantile,0.8,15,,,0.6570490578578492,0.02635624112022976
gate_quantile,0.85,1,,,0.7392447941820596,0.024321182738153892
gate_quantile,0.85,2,,,0.733402681341481,0.027959425319004354
gate_quantile,0.85,3,,,0.7387160630030254,0.031114253453528484
gate_quantile,0.85,4,,,0.7382127480971322,0.03211584752356682
gate_quantile,0.85,5,,,0.7318271764245243,0.024523569036853612
gate_quantile,0.85,6,,,0.7396883374212275,0.031359135651371925
gate_quantile,0.85,7,,,0.7292125161933879,0.022036788247758083
gate_quantile,0.85,8,,,0.7369893054152225,0.027984800944632217
gate_quantile,0.85,9,,,0.735246170353359,0.02423375433050117
gate_quantile,0.85,10,,,0.7399818183101781,0.029472927590925364
gate_quantile,0.85,11,,,0.7179777861014952,0.025782289762988398
gate_quantile,0.85,12,,,0.7259283063033193,0.02900196875956286
gate_quantile,0.85,13,,,0.7366862303922883,0.028019596013266406
gate_quantile,0.85,14,,,0.712636606771144,0.028155254317693973
gate_quantile,0.85,15,,,0.7333655491099197,0.02710174820089013
gate_quantile,0.9,1,,,0.8142507978060498,0.03468742289774894
gate_quantile,0.9,2,,,0.8168612400724041,0.03795805811115726
gate_quantile,0.9,3,,,0.8222785106135911,0.0389133191787773
gate_quantile,0.9,4,,,0.7997048638460956,0.036528721021864975
gate_quantile,0.9,5,,,0.8153058630408765,0.04097065385544193
gate_quantile,0.9,6,,,0.8089077522872753,0.036849917506447595
gate_quantile,0.9,7,,,0.8118410817791144,0.03337419443280207
gate_quantile,0.9,8,,,0.8150302258147131,0.029274444645871416
gate_quantile,0.9,9,,,0.8261338553284935,0.04076578231232274
gate_quantile,0.9,10,,,0.832138732383038,0.03660536041856417
gate_quantile,0.9,11,,,0.8240244008805385,0.04135934648915771
gate_quantile,0.9,12,,,0.82456560856117,0.037432744577175485
gate_quantile,0.9,13,,,0.8046976890965108,0.03426697517645488
gate_quantile,0.9,14,,,0.8274601905295628,0.035858126334736916
gate_quantile,0.9,15,,,0.8069710831516393,0.03682846973055396
gate_quantile,0.95,1,,,0.8863225930534648,0.045568684047750614
gate_quantile,0.95,2,,,0.8785698607234965,0.04844796665481783
gate_quantile,0.95,3,,,0.9008771900112661,0.04427846187695776
gate_quantile,0.95,4,,,0.9094691980394547,0.044836075822972526
gate_quantile,0.95,5,,,0.9064382319373033,0.0445388414733006
gate_quantile,0.95,6,,,0.8935460867798307,0.04851372594412942
gate_quantile,0.95,7,,,0.8990634816823165,0.043738837503747914
gate_quantile,0.95,8,,,0.9032191692155127,0.049877485382698726
gate_quantile,0.95,9,,,0.9194270158672894,0.038916216747184706
gate_quantile,0.95,10,,,0.9033915145495984,0.05330229577085244
gate_quantile,0.95,11,,,0.8983504983944914,0.042661562271629476
gate_quantile,0.95,12,,,0.9227559019421984,0.04776197986579006
gate_quantile,0.95,13,,,0.9017811482481426,0.04364485425379032
gate_quantile,0.95,14,,,0.8971592442942096,0.05040882491175136
gate_quantile,0.95,15,,,0.8939405287814272,0.04113384809649752
gate_quantile,0.975,1,,,0.9278612710882185,0.058161519190272064
gate_quantile,0.975,2,,,0.9435667354141218,0.06014477367712972
gate_quantile,0.975,3,,,0.9418784592918747,0.06177673231042037
gate_quantile,0.975,4,,,0.9290655017416957,0.054713189220295194
gate_quantile,0.975,5,,,0.942349645530918,0.06318965426622498
gate_quantile,0.975,6,,,0.9413586465921986,0.05486227060727919
gate_quantile,0.975,7,,,0.9421311398661025,0.06071983941136812
gate_quantile,0.975,8,,,0.9455038880763131,0.05880135814034098
gate_quantile,0.975,9,,,0.9552416694358963,0.047915876704608625
gate_quantile,0.975,10,,,0.9320594932069558,0.05935345635466094
gate_quantile,0.975,11,,,0.9435366185897056,0.0586350041345228
gate_quantile,0.975,12,,,0.9382605820119655,0.054854760553116916
gate_quantile,0.975,13,,,0.9435903038385268,0.056186156884006744
gate_quantile,0.975,14,,,0.9367790943943365,0.06436210667820726
gate_quantile,0.975,15,,,0.9415010281535694,0.0567852102271445
gate_quantile,0.99,1,,,0.9606631143462142,0.07144816116504761
gate_quantile,0.99,2,,,0.9724868990266169,0.07528704805004559
gate_quantile,0.99,3,,,0.9586153246042906,0.07020485790924966
gate_quantile,0.99,4,,,0.963841202910216,0.06308808161568358
gate_quantile,0.99,5,,,0.9644975733738734,0.0731726440597267
gate_quantile,0.99,6,,,0.9720680208601455,0.06839926155655118
gate_quantile,0.99,7,,,0.9785464605645846,0.07689545975317966
gate_quantile,0.99,8,,,0.9527044242834833,0.08121437633865485
gate_quantile,0.99,9,,,0.9850682731528374,0.06526365991622748
gate_quantile,0.99,10,,,0.956265286518493,0.07831257441567584
gate_quantile,0.99,11,,,0.967040727109608,0.07484522476199416
gate_quantile,0.99,12,,,0.977767907865452,0.07366919476566698
gate_quantile,0.99,13,,,0.9726274955542149,0.06773808582233537
gate_quantile,0.99,14,,,0.9706626626245686,0.07270251971567301
gate_quantile,0.99,15,,,0.9593017704646684,0.06914262797552571
