split,method,run,hv
Split A,Proposed,1,0.8363697424682435
Split A,MF-SAEA,1,0.7870614424427298
Split A,Proposed,2,0.8472943661937039
Split A,MF-SAEA,2,0.7904985196811605
Split A,Proposed,3,0.8502524014605539
Split A,MF-SAEA,3,0.7849575164599049
Split A,Proposed,4,0.857420245277104
Split A,MF-SAEA,4,0.7941732341984401
Split A,Proposed,5,0.8514863178172313
Split A,MF-SAEA,5,0.7979892555569723
Split A,Proposed,6,0.8532578552339566
Split A,MF-SAEA,6,0.8093046756483586
Split A,Proposed,7,0.8445802415428394
Split A,MF-SAEA,7,0.7904811534188264
Split A,Proposed,8,0.8631151757917466
Split A,MF-SAEA,8,0.801319756872042
Split A,Proposed,9,0.864213536491821
Split A,MF-SAEA,9,0.8255708956421179
Split A,Proposed,10,0.8557740468088281
Split A,MF-SAEA,10,0.7925980720186776
Split A,Proposed,11,0.8548277506421773
Split A,MF-SAEA,11,0.7935853292107695
Split A,Proposed,12,0.8458462368197094
Split A,MF-SAEA,12,0.8074789184240727
Split A,Proposed,13,0.8597008517806708
Split A,MF-SAEA,13,0.7897348375752167
Split A,Proposed,14,0.8677492786528433
Split A,MF-SAEA,14,0.8068989758200508
Split A,Proposed,15,0.8767648305284436
Split A,MF-SAEA,15,0.8056410982395801
Split B,Proposed,1,0.8681835593464627
Split B,MF-SAEA,1,0.7859848742325171
Split B,Proposed,2,0.856285494232073
Split B,MF-SAEA,2,0.7779059840368414
Split B,Proposed,3,0.8448081705691988
Split B,MF-SAEA,3,0.8020907818433515
Split B,Proposed,4,0.8619506108019892
Split B,MF-SAEA,4,0.78635470985604
Split B,Proposed,5,0.8470056829514383
Split B,MF-SAEA,5,0.7882985120699639
Split B,Proposed,6,0.8508610217177358
Split B,MF-SAEA,6,0.8007287775029963
Split B,Proposed,7,0.8405602558658262
Split B,MF-SAEA,7,0.7686779487922325
Split B,Proposed,8,0.8394626505808411
Split B,MF-SAEA,8,0.7751390737667138
Split B,Proposed,9,0.8415048509219232
Split B,MF-SAEA,9,0.7995102365718785
Split B,Proposed,10,0.8635159943077508
Split B,MF-SAEA,10,0.799917482930356
Split B,Proposed,11,0.8702842205216069
Split B,MF-SAEA,11,0.7802619760230521
Split B,Proposed,12,0.8515163508215591
Split B,MF-SAEA,12,0.7981589138469277
Split B,Proposed,13,0.8425463674145882
Split B,MF-SAEA,13,0.8036980104923281
Split B,Proposed,14,0.8436184279261866
Split B,MF-SAEA,14,0.779387446514074
Split B,Proposed,15,0.8537095507853288
Split B,MF-SAEA,15,0.803617653364623
Split C,Proposed,1,0.850966741908435
Split C,MF-SAEA,1,0.7998325913507517
Split C,Proposed,2,0.8645033425952294
Split C,MF-SAEA,2,0.8035068075558635
Split C,Proposed,3,0.8607417161597587
Split C,MF-SAEA,3,0.8016831999770081
Split C,Proposed,4,0.8570182369464263
Split C,MF-SAEA,4,0.802466214801749
Split C,Proposed,5,0.8578902855403958
Split C,MF-SAEA,5,0.8233227479208649
